Reference ID,Country,Validation Date,Amount,Currency,Rating,Type,Maturity
XZT120,UNITED STATES OF AMERICA,01/03/2019,2681000,USD,AAA,1,01/09/2031
XZT121,RUSSIA,01/04/2019,6001000,USD,BBB,3,01/07/2034
XZT122,UNITED STATES OF AMERICA,01/01/2019,7950000,USD,BBB,2,01/06/2019
XZT123,UNITED KINGDOM,01/04/2019,8128000,EUR,A,2,01/04/2038
XZT124,GERMANY,01/04/2019,4132000,GBP,AA,1,01/09/2039
XZT125,AUSTRALIA,01/02/2019,4691000,USD,A,1,01/09/2026
XZT126,JAPAN,01/04/2019,2387000,USD,B,2,01/05/2024
XZT127,BRAZIL,01/01/2019,808000,CHF,BBB,2,01/04/2029
XZT128,EGYPT,01/03/2019,3258000,GBP,A,3,01/10/2031
XZT129,UNITED STATES OF AMERICA,01/02/2019,8724000,USD,AA,2,01/05/2027
XZT130,UNITED STATES OF AMERICA,01/04/2019,2556000,USD,AAA,2,01/04/2048
XZT131,UNITED STATES OF AMERICA,01/04/2019,4854000,USD,BB,1,01/05/2039
XZT155,POLAND,01/04/2019,5601000,USD,A,1,01/04/2046
XZT133,AUSTRALIA,01/03/2019,3146000,USD,AA,2,02/29/2032
XZT134,JAPAN,01/02/2019,2218000,EUR,AAA,2,01/08/2040
XZT135,UNITED STATES OF AMERICA,01/01/2019,2007000,USD,BBB,3,01/06/2030
XZT136,UNITED STATES OF AMERICA,01/04/2019,8065000,GBP,BB,2,01/01/2032
XZT137,SWITZERLAND,01/04/2019,6941000,USD,AAA,3,01/06/2029
XZT138,POLAND,01/03/2019,7191000,USD,B,1,01/09/2043
XZT139,BELGIUM,01/02/2019,6249000,USD,A,1,01/12/2024
XZT140,URUGUAY,01/04/2019,6620000,USD,A,2,04/01/2044
XZT141,GERMANY,01/02/2019,5946000,GBP,AA,3,01/02/2027
XZT142,SOUTH KOREA,01/04/2019,2293000,USD,CCC,2,01/03/2025
XZT143,AUSTRALIA,01/04/2019,4561000,USD,BB,2,01/09/2030
XZT144,RUSSIA,01/03/2019,732000,USD,AA,3,01/09/2032
XZT145,BRAZIL,01/04/2019,195000,USD,AA,2,01/03/2025
XZT146,AUSTRALIA,01/02/2019,4649000,USD,A,2,08/01/2033
XZT147,SOUTH KOREA,01/01/2019,9492000,USD,A,2,01/11/2037
XZT148,SOUTH KOREA,01/03/2019,7399000,USD,AA,1,01/11/2030
XZT149,SOUTH KOREA,01/01/2019,8815000,CHF,AA,1,01/01/2035
XZT173,EGYPT,01/04/2019,9432000,USD,AA,1,01/01/2035
XZT151,GERMANY,01/01/2019,8324000,GBP,A,2,31/12/2020
XZT152,GERMANY,01/04/2019,1996000,USD,BB,2,01/10/2026
XZT153,SOUTH KOREA,01/03/2019,2245000,GBP,CCC,2,01/03/2041
XZT154,EGYPT,01/02/2019,3221000,USD,BB,2,02/01/2030
XZT155,SOUTH KOREA,01/02/2019,8017000,USD,A,2,01/05/2019
XZT156,JAPAN,01/03/2019,8468000,USD,A,2,01/12/2040
XZT157,UNITED STATES OF AMERICA,01/04/2019,3813000,USD,AA,3,01/09/2045
XZT158,UNITED STATES OF AMERICA,01/02/2019,6050000,USD,B,2,01/11/2043
XZT159,AUSTRALIA,01/04/2019,5737000,USD,A,1,01/12/2031
XZT160,POLAND,01/03/2019,792000,USD,BB,1,01/11/2047
XZT161,UNITED STATES OF AMERICA,01/03/2019,5694000,USD,AAA,1,01/05/2019
XZT162,MEXICO,01/02/2019,3785000,EUR,AA,2,01/05/2039
XZT163,BRAZIL,01/03/2019,8388000,USD,A,3,01/05/2020
XZT164,MEXICO,01/02/2019,2598000,USD,BB,2,10/01/2019
XZT165,CANADA,01/03/2019,3218000,USD,A,1,30/09/2034
XZT166,SOUTH KOREA,01/03/2019,3894000,EUR,AAA,2,01/09/2026
XZT167,SOUTH KOREA,01/03/2019,19000,USD,AA,3,01/04/2033
XZT168,UNITED STATES OF AMERICA,01/04/2019,9725000,EUR,A,1,01/02/2034
XZT169,POLAND,01/01/2019,4118000,AUD,AA,2,01/01/2047
XZT170,GERMANY,01/04/2019,1992000,EUR,AA,2,01/12/2021
XZT171,GERMANY,01/02/2019,4566000,USD,A,2,01/09/2042
XZT172,AUSTRIA,01/03/2019,3008000,USD,AA,2,01/09/2023
XZT173,GERMANY,01/04/2019,7488000,USD,AA,1,01/05/2045
XZT174,UNITED STATES OF AMERICA,01/04/2019,6380000,USD,A,2,01/09/2029
XZT175,SOUTH KOREA,01/01/2019,9230000,USD,AA,1,01/03/2037
XZT176,SOUTH KOREA,01/01/2019,7725000,GBP,A,3,01/05/2047
XZT177,POLAND,01/03/2019,8675000,USD,AA,2,10/01/2026
XZT178,UNITED STATES OF AMERICA,01/04/2019,6566000,CHF,BB,2,01/04/2027
XZT179,AUSTRALIA,01/02/2019,9685000,USD,B,2,09/01/2038
XZT180,UNITED KINGDOM,01/04/2019,3846000,USD,BB,3,01/05/2037
XZT181,MEXICO,01/02/2019,1197000,EUR,AAA,2,11/01/2042
XZT182,UNITED STATES OF AMERICA,01/03/2019,8927000,USD,A,2,01/01/2034
XZT183,GERMANY,01/03/2019,7909000,USD,AAA,2,01/10/2047
XZT184,EGYPT,01/02/2019,8533000,USD,BBB,2,01/06/2040
XZT185,JAPAN,01/02/2019,2986000,USD,AAA,2,01/06/2024
XZT186,AUSTRALIA,01/01/2019,9043000,GBP,AAA,1,01/12/2036
XZT187,GERMANY,01/03/2019,6373000,EUR,CCC,1,01/04/2031
XZT188,AUSTRALIA,01/04/2019,4809000,GBP,A,2,01/01/2035
XZT189,UNITED KINGDOM,01/01/2019,7762000,USD,AA,3,01/03/2045
XZT190,SOUTH KOREA,01/02/2019,20000,USD,AA,2,01/02/2021
XZT191,AUSTRALIA,01/01/2019,550000,USD,AA,2,01/06/2028
XZT192,JAPAN,01/01/2019,4515000,USD,BB,1,11/01/2023
XZT193,UNITED STATES OF AMERICA,01/02/2019,8927000,EUR,CCC,2,01/09/2040
XZT194,AUSTRALIA,01/01/2019,6257000,USD,AA,3,01/07/2028
XZT195,CANADA,01/02/2019,7160000,EUR,BBB,1,04/01/2041
XZT196,EGYPT,01/01/2019,4705000,USD,BB,3,01/07/2041
XZT197,UNITED KINGDOM,01/01/2019,2601000,USD,AA,3,01/08/2034
XZT198,UNITED STATES OF AMERICA,01/02/2019,267000,EUR,BBB,1,01/07/2032
XZT199,CANADA,01/01/2019,1017000,EUR,BB,3,01/04/2033
XZT200,SOUTH KOREA,01/03/2019,1304000,GBP,A,3,01/09/2022
XZT201,UNITED KINGDOM,01/02/2019,7593000,USD,BBB,1,01/02/2031
XZT202,SOUTH KOREA,01/02/2019,1087000,USD,AA,3,06/01/2046
XZT203,SOUTH KOREA,01/03/2019,1776000,USD,A,1,01/10/2026
XZT204,UNITED STATES OF AMERICA,01/02/2019,1508000,AUD,BB,2,02/01/2024
XZT205,RUSSIA,01/04/2019,3010000,USD,A,3,01/07/2038
XZT206,DENMARK,01/01/2019,1732000,USD,A,1,01/08/2040
XZT230,UNITED STATES OF AMERICA,01/01/2019,1875000,GBP,AA,3,01/03/2045
XZT208,POLAND,01/03/2019,9322000,USD,BBB,3,01/03/2047
XZT209,UNITED KINGDOM,01/02/2019,6575000,USD,AA,1,05/01/2042
XZT210,GERMANY,01/02/2019,4824000,USD,AA,2,01/05/2032
XZT211,UNITED STATES OF AMERICA,01/03/2019,7644000,USD,B,2,01/03/2033
XZT212,CHINA,01/03/2019,180000,CHF,BB,2,01/10/2033
XZT213,MEXICO,01/03/2019,5982000,CAD,AA,2,01/11/2022
XZT214,JAPAN,01/02/2019,1012000,EUR,BB,3,01/05/2025
XZT215,BRAZIL,01/04/2019,3784000,USD,B,1,01/08/2035
XZT216,CANADA,01/02/2019,4073000,USD,A,1,01/11/2040
XZT217,UNITED STATES OF AMERICA,01/02/2019,8739000,USD,AA,2,01/08/2032
XZT218,CANADA,01/04/2019,2807000,USD,AAA,3,01/08/2037
XZT219,MEXICO,01/04/2019,9493000,EUR,BB,3,01/07/2023
XZT220,POLAND,01/02/2019,6137000,USD,AA,1,05/01/2038
XZT221,CHINA,01/03/2019,5822000,USD,BBB,2,01/02/2045
XZT222,GERMANY,01/04/2019,6688000,USD,AA,2,01/11/2025
XZT223,GERMANY,01/03/2019,4211000,USD,A,1,01/06/2042
XZT224,EGYPT,01/04/2019,2930000,EUR,AA,2,01/09/2034
XZT225,GERMANY,01/03/2019,2325000,USD,AA,2,01/06/2034
XZT226,UNITED STATES OF AMERICA,01/03/2019,6860000,USD,BB,1,01/07/2033
XZT227,JAPAN,01/02/2019,2322000,USD,A,2,01/10/2041
XZT228,CHINA,01/03/2019,5755000,USD,AA,2,01/02/2035
XZT229,GERMANY,01/02/2019,8922000,USD,A,2,01/10/2021
XZT230,UNITED KINGDOM,01/02/2019,1007000,USD,AAA,3,01/09/2029
XZT231,SOUTH KOREA,01/01/2019,1912000,USD,A,2,01/03/2040
XZT232,SOUTH KOREA,TRUE,8870000,USD,A,1,01/11/2023
XZT233,SOUTH KOREA,01/03/2019,1269000,USD,AAA,3,01/12/2039
XZT234,CANADA,01/02/2019,3169000,USD,AA,2,02/01/2035
XZT235,EGYPT,01/02/2019,1265000,USD,CCC,3,01/12/2028
XZT236,CANADA,01/02/2019,9891000,USD,AA,2,30/04/2019
XZT237,UNITED STATES OF AMERICA,01/01/2019,3428000,USD,AAA,3,01/05/2048
XZT238,SWITZERLAND,01/01/2019,4354000,EUR,A,1,08/01/2025
XZT239,FRANCE,01/03/2019,3348000,USD,AA,3,01/07/2036
XZT240,UNITED STATES OF AMERICA,01/01/2019,8797000,GBP,AA,1,01/06/2042
XZT241,POLAND,01/02/2019,5060000,EUR,B,1,01/04/2026
XZT242,EGYPT,01/02/2019,2113000,CHF,BBB,1,01/11/2041
XZT243,DENMARK,01/04/2019,9829000,USD,BBB,3,01/11/2040
XZT244,POLAND,01/03/2019,4814000,EUR,AA,1,01/07/2020
XZT245,GERMANY,01/04/2019,88000,USD,A,2,01/11/2046
XZT246,BELGIUM,01/03/2019,4055000,USD,BB,3,01/07/2021
XZT247,UNITED STATES OF AMERICA,01/02/2019,4946000,USD,AA,2,30/06/2024
XZT248,UNITED STATES OF AMERICA,01/02/2019,5688000,USD,BBB,1,01/09/2024
XZT249,MEXICO,01/01/2019,5036000,GBP,AA,2,01/03/2043
XZT250,EGYPT,01/03/2019,3365000,USD,A,1,01/01/2037
XZT251,RUSSIA,01/03/2019,5933000,USD,AAA,2,01/04/2037
XZT252,DENMARK,01/04/2019,5496000,EUR,AA,3,01/07/2032
XZT253,SOUTH KOREA,01/03/2019,2725000,USD,AA,3,01/01/2049
XZT254,GERMANY,01/02/2019,9417000,USD,AA,2,01/12/2039
XZT255,UNITED STATES OF AMERICA,01/03/2019,1425000,USD,BBB,3,01/05/2037
XZT256,POLAND,01/03/2019,1890000,GBP,AA,3,01/02/2030
XZT257,SOUTH AFRICA,01/03/2019,4242000,EUR,CCC,3,01/06/2038
XZT258,GERMANY,01/04/2019,1335000,GBP,AA,3,01/09/2041
XZT259,SOUTH KOREA,01/04/2019,5258000,CHF,A,2,01/01/2033
XZT260,AUSTRALIA,01/01/2019,5221000,USD,BBB,3,01/11/2032
XZT261,BRAZIL,01/01/2019,7530000,CAD,A,1,01/07/2039
XZT262,UNITED KINGDOM ,01/01/2019,7896000,USD,B,1,01/10/2028
XZT263,GERMANY,01/02/2019,4624000,GBP,A,2,01/05/2023
XZT264,UNITED KINGDOM,01/02/2019,6672000,USD,BB,3,01/04/2028
XZT265,AUSTRALIA,01/02/2019,3902000,USD,A,3,01/02/2041
XZT266,SOUTH KOREA,01/01/2019,4061000,AUD,CCC,2,01/11/2040
XZT267,SPAIN,01/04/2019,2396000,EUR,A,1,01/05/2041
XZT268,AUSTRALIA,01/02/2019,6298000,EUR,BB,1,01/10/2031
XZT269,SOUTH KOREA,01/02/2019,4962000,EUR,B,3,01/12/2039
XZT270,UNITED STATES OF AMERICA,01/03/2019,6682000,EUR,AA,1,01/07/2020
XZT271,GERMANY,01/02/2019,1446000,USD,AA,3,01/04/2025
XZT272,UNITED STATES OF AMERICA,01/03/2019,4543000,USD,BBB,1,01/02/2037
XZT273,UNITED STATES OF AMERICA,01/03/2019,726000,USD,AA,1,01/04/2023
XZT274,MEXICO ,01/02/2019,5595000,GBP,A,1,01/10/2031
XZT275,CANADA,01/01/2019,6162000,USD,AAA,3,01/01/2038
XZT276,EGYPT,01/03/2019,5155000,USD,AA,1,01/10/2046
XZT277,SOUTH KOREA,01/04/2019,4062000,CHF,A,2,01/06/2023
XZT278,UNITED KINGDOM,01/03/2019,7615000,USD,A,3,01/10/2020
XZT279,POLAND,01/03/2019,6927000,USD,BB,3,01/11/2025
XZT280,UNITED STATES OF AMERICA,01/02/2019,906000,USD,AA,3,01/11/2021
XZT281,EGYPT,01/03/2019,892000,EUR,CCC,2,31/03/2020
XZT282,AUSTRALIA,01/01/2019,3218000,USD,CCC,1,01/04/2024
XZT283,AUSTRIA,01/04/2019,9056000,USD,AA,3,01/03/2019
XZT284,UNITED STATES OF AMERICA,01/01/2019,4209000,CHF,BB,1,01/01/2047
XZT285,SOUTH KOREA,01/01/2019,902000,GBP,AAA,3,01/11/2031
XZT286,EGYPT,01/04/2019,5882000,GBP,AAA,3,01/12/2039
XZT287,UNITED KINGDOM,01/02/2019,1929000,USD,B,2,01/12/2033
XZT288,GERMANY,01/02/2019,6154000,USD,CCC,2,01/08/2045
XZT289,AUSTRALIA,01/03/2019,4286000,USD,BB,3,01/03/2025
XZT290,RUSSIA,01/03/2019,4854000,CAD,AAA,3,01/11/2034
XZT291,CHINA,01/03/2019,6048000,USD,A,2,01/11/2046
XZT292,SOUTH KOREA,01/04/2019,3494000,GBP,AA,2,01/12/2043
XZT293,GERMANY,01/02/2019,626000,GBP,BBB,1,01/04/2032
XZT294,UNITED STATES OF AMERICA,01/04/2019,1405000,USD,BB,1,01/04/2046
XZT295,EGYPT,01/03/2019,1363000,USD,BB,1,01/09/2031
XZT296,AUSTRALIA,01/03/2019,2940000,USD,AAA,2,01/06/2037
XZT297,UNITED STATES OF AMERICA,01/02/2019,5720000,USD,A,3,01/05/2045
XZT298,UNITED STATES OF AMERICA,01/03/2019,4168000,USD,AA,3,09/01/2042
XZT299,UNITED STATES OF AMERICA,01/02/2019,2416000,USD,BB,3,01/12/2039
XZT300,AUSTRALIA,01/04/2019,8502000,GBP,A,3,07/01/2021
XZT301,EGYPT,01/02/2019,5801000,USD,CCC,3,01/07/2037
XZT302,SOUTH KOREA,01/03/2019,183000,EUR,A,1,01/03/2040
XZT303,UNITED STATES OF AMERICA,01/02/2019,7667000,USD,AA,3,01/03/2044
XZT304,BELGIUM,01/04/2019,9214000,USD,AAA,3,01/05/2046
XZT305,SOUTH KOREA,01/03/2019,349000,EUR,A,1,01/01/2029
XZT306,NORWAY,01/04/2019,7035000,USD,A,2,12/01/2030
XZT307,DENMARK,01/03/2019,7405000,EUR,BBB,1,01/02/2047
XZT308,FRANCE,01/03/2019,4361000,USD,A,3,01/07/2027
XZT332,EGYPT,01/04/2019,2525000,USD,AA,3,01/06/2033
XZT310,SOUTH KOREA,01/03/2019,4819000,EUR,AA,3,01/11/2046
XZT311,SOUTH KOREA,01/03/2019,9521000,USD,AA,1,01/10/2024
XZT312,AUSTRALIA,01/03/2019,4081000,EUR,B,1,01/01/2024
XZT313,BRAZIL,01/03/2019,5642000,GBP,AA,1,01/04/2040
XZT314,GERMANY,01/04/2019,430000,USD,AA,2,01/08/2048
XZT315,UNITED STATES OF AMERICA,01/02/2019,-181000,USD,BB,1,01/08/2037
XZT316,AUSTRALIA,01/01/2019,1158000,EUR,BBB,1,01/12/2033
XZT317,SOUTH KOREA,01/02/2019,170000,USD,BB,3,01/10/2032
XZT318,UNITED KINGDOM,01/02/2019,628000,USD,B,1,01/04/2031
XZT319,BRAZIL,01/02/2019,7412000,CHF,AA,3,01/02/2036
XZT320,GERMANY,01/04/2019,5724000,GBP,BBB,2,01/02/2040
XZT321,SOUTH KOREA,01/04/2019,7032000,USD,AA,3,01/05/2020
XZT322,CHINA,01/02/2019,9886000,CHF,BB,2,01/06/2048
XZT323,AUSTRALIA,01/03/2019,4680000,EUR,A,3,01/05/2040
XZT324,UNITED STATES OF AMERICA,01/02/2019,5749000,USD,AA,3,01/12/2041
XZT325,SOUTH KOREA,01/02/2019,4338000,USD,BB,2,01/12/2029
XZT326,UNITED KINGDOM,01/04/2019,3995000,USD,A,1,01/04/2031
XZT327,AUSTRALIA,01/04/2019,8041000,USD,BB,3,10/01/2029
XZT328,GERMANY,01/04/2019,5685000,GBP,AA,1,01/05/2032
XZT329,DENMARK,01/04/2019,8623000,USD,A,3,01/08/2046
XZT330,SOUTH KOREA,01/03/2019,3072000,USD,AA,2,01/11/2040
XZT331,UNITED STATES OF AMERICA,01/01/2019,7676000,USD,AAA,3,01/10/2038
XZT332,AUSTRALIA,01/02/2019,5083000,EUR,CCC,2,01/12/2033
XZT333,NORWAY,01/02/2019,525000,USD,BB,3,01/01/2031
XZT334,GERMANY,01/03/2019,325000,USD,BB,2,01/08/2031
XZT335,CHINA,01/02/2019,3259000,USD,A,1,01/05/2028
XZT336,EGYPT,01/03/2019,4068000,USD,AA,1,11/01/2048
XZT337,AUSTRALIA,01/02/2019,8738000,USD,B,2,03/01/2038
XZT338,EGYPT,01/01/2019,1788000,CHF,A,1,01/03/2045
XZT339,GERMANY,01/04/2019,3015000,EUR,BBB,1,04/01/2031
XZT340,AUSTRALIA,01/02/2019,1557000,EUR,A,3,01/03/2019
XZT341,UNITED STATES OF AMERICA,01/04/2019,5651000,USD,AA,2,01/09/2032
XZT342,SOUTH KOREA,01/03/2019,6328000,USD,A,3,01/10/2036
XZT343,FRANCE,01/02/2019,3215000,EUR,BB,3,01/12/2023
XZT344,UNITED STATES OF AMERICA,01/03/2019,8751000,USD,BB,1,01/12/2044
XZT345,UNITED STATES OF AMERICA,01/03/2019,4630000,USD,AA,2,01/09/2039
XZT346,UNITED STATES OF AMERICA,01/02/2019,9733000,USD,AA,2,09/01/2019
XZT347,SOUTH KOREA,01/02/2019,3552000,GBP,A,3,31/07/2027
